title,year,kdrama_id,director,screenwriter,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop,music_score,story_score,acting_cast_score,rewatch_value_score,overall_score,n_helpful
The Family Is Coming,2015.0,9170c31a02014b56bb4cec2105086f00,['Joo Dong Min'],['Kim Shin Hye'],20.0,3600.0,1/3/2015,3/15/2015,"Saturday, Sunday",SBS,15+ - Teens 15 or older,"A grandma has abandoned her family 50 years ago and suddenly returns one day to distribute a 10-billion-won inheritance to her children and grandchildren. The family members compete over who gets the inheritance, leading to comic hijinks and eventually growth and maturity for all involved.~~ Adapted from the novel “Grandma Is Back”. ",7995.0,4289.0,6.0,7.8,8.2,6.0,8.0,6.0
The Lover,2015.0,2dc531911bd1454288c468ed8de78f4e,['Kim Tae Eun'],['Kim Min Seok'],12.0,3000.0,4/2/2015,6/25/2015,Thursday,Mnet,18+ Restricted (violence & profanity),"The series talk about four different couples living together in one apartment complex. Both in their thirties, Oh Do Shi is a voice actor and Ryu Du Ri is a blogger. They simply chose to live together instead of getting married, and have been sharing an apartment for two years. Jeong Yeong Jun and Choi Ji Nyeo are a couple that's twelve years apart in age. Ji Nyeo has the personality of a penny-pinching ajumma and basically supports her younger boyfriend in the hope that he will someday realize his dream, while Yeong Jun is an unemployed musician who carries around a guitar he doesn't know how to play. They've been living together for a year, and are quick to fight and make up. Park Hwan Jong and Ha Seol Eun are in their twenties and have just moved in together. Seol Eun wants her boyfriend to believe that she's the perfect embodiment of femininity, and works tirelessly to keep up the illusion. Lee Jun Jae is a loner who prefers to stay at home, but is forced to find a roommate for financial reasons. He doesn't even want to exchange unnecessary small talk so he advertises for a foreigner who can't speak Korean very well. Enter Takuya, a Japanese guy on his travels. Takuya thinks Jun Jae is wasting his youth, and begins to draw him out into the world.",5486.0,527.0,7.7,8.5,9.0,8.0,8.7,15.0
Love of Eve,2015.0,832b2dcd1ac941348f0dcf54972a7eb0,['Lee Gye Joon'],Others,120.0,2400.0,5/18/2015,10/30/2015,"Monday, Tuesday, Wednesday, Thursday, Friday",MBC,15+ - Teens 15 or older,"Three women share a close bond that was deeper than any friendship. Song Ah, Sen Na, and Hyun Ah were both the same age and went to the same schools. Song Ah was an especially giving friend who would do anything for a friend. She absolutely trusted Sen Na and treated her like a sister along with her twin sister Hyun Ah. She thought they would always maintain a close relationship. But she had no idea that Sen Na was planning revenge.(Source: MBC)",54646.0,12387.0,1.0,3.0,3.0,1.0,3.0,1.0
Love on a Rooftop,2015.0,5eda227cf639445cbbe1ed6531e28d2d,['Choi Ji Yeong'],"['Choi Min Ki', 'Kim Ji Wan']",101.0,2100.0,4/6/2015,8/21/2015,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS2,15+ - Teens 15 or older,A drama about a woman who finally becomes a part of a family after re-adoption and man who chooses love over family. ,8341.0,7469.0,5.0,5.4,5.1,3.0,5.1,5.0
"Kill Me, Heal Me",2015.0,e8c09f0f7d0d4b75a4642eb06d76d811,"['Kim Jin Man', 'Kim Dae Jin']",['Jin Soo Wan'],20.0,3720.0,1/7/2015,3/12/2015,"Wednesday, Thursday",MBC,15+ - Teens 15 or older,"A traumatic childhood experience leaves Cha Do Hyeon, suffering from memory loss and dissociation. The latter has resulted in the creation of seven distinct personalities. Wanting to regain control over his life, he asks Oh Ri Jin, a first-year psychiatric resident, to help him, but she eventually falls in love with one of his personalities. Ri Jin’s twin brother, Oh Ri On, a famous mystery novelist, investigates Do Hyeon and his family. (Source: MyDramaList)",232.0,29.0,8.8,8.5,9.0,8.0,8.7,59.0
Delicious Love,2015.0,a38a585a6c6942e59d32dc64343dcd72,Others,Others,3.0,1800.0,11/5/2015,11/10/2015,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Naver TV Cast,Not Yet Rated,"A teen romantic comedy that tells the story of a chef named Sung Jun who is the best at his craft and has no flaws in the eyes of others, but he is simply hopeless when it comes to love. But when he meets a girl who eats everything deliciously, he falls in love at first sight. ",9163.0,4826.0,5.2,2.8,3.8,1.0,3.5,3.0
Love Detective Sherlock K,2015.0,fff500c6bfe746e8968e4c22676859b3,Others,Others,10.0,600.0,11/11/2015,11/20/2015,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",Naver TV Cast,Not Yet Rated,"Sherlock K is a beautiful woman disguised as a man. Commissioned by chaebol Do Min-woo, she runs a ‘healing cafe’ where she profiles love psychology. ",8964.0,4942.0,3.5,3.5,7.0,1.0,4.0,2.0
The Time We Were Not in Love,2015.0,12208c74d650417d870f673af98c28d2,['Jo Soo Won'],"['Jung Do Yoon', 'Lee Ha Na']",16.0,3840.0,6/27/2015,8/16/2015,"Saturday, Sunday",SBS,15+ - Teens 15 or older,"Choi Won is ""the perfect guy"" - good-looking, tall and fit with an amicable personality. Although he is very popular with women, he can't have a proper relationship because of his friend, Oh Ha Na. A romantic comedy about a man and a woman who have been best friends for 20 years (7000 days). They turn 34 and make a pact to be married before 35, and race each other to the altar while “helping” weed out potential suitors. They find that they're constantly dissatisfied with each other’s boyfriends and girlfriends, because they've really been in love all this time.",5880.0,670.0,6.4,7.0,7.6,4.3,7.2,12.0
The Dearest Lady,2015.0,729e5a41ac7b4bddadd32d410800450a,"['Choi Chang Wook', 'Choi Joon Bae']",['Seo Hyun Joo'],116.0,2100.0,12/7/2015,5/20/2016,"Monday, Tuesday, Wednesday, Thursday, Friday",MBC,15+ - Teens 15 or older,An upbeat family-oriented TV miniseries with a mishmash of different generations and different attitudes towards relationships. The difficulties that arise between mother and daughter mostly due to the men they are having a relationship with becomes the central plot that illustrates the challenges that single moms and divorcees face in today’s society. Their lives and the lives of the people they are connected to are depicted in a way that viewers can relate to through a fuzzy warm feeling called love.(Source: MBC),53280.0,11354.0,3.0,4.2,5.0,1.0,3.5,1.0
The Eccentric Daughter-in-Law,2015.0,cc11a722be134425b745aa95db84bc36,"['Lee Duk Gun', 'Park Man Young']",['Yoo Nam Kyung'],12.0,4500.0,8/17/2015,9/22/2015,"Monday, Tuesday",KBS2,Not Yet Rated,"Oh In Yeong is a former idol group singer. She belonged to a popular 4 member girl group, but, now, she isn't very popular anymore. In order to boost her flagging popularity, In Yeong agrees to appear in a television reality show that pairs up fake mothers- and daughters-in-law. While filming for the TV show, she meets her scripted mother-in-law Yang Chun Ja, a matriarch of a long-standing traditional clan. They end up hating each other on the show, but as fate would have it, the two later end up becoming mother and daughter-in-law for real.",7125.0,2769.0,7.8,7.3,7.8,6.2,7.9,3.0
Awl,2015.0,b5446cda988a4fbeb50aaf7704a5b5ce,['Kim Seok Yoon'],"['Kim Soo Jin', 'Lee Nam Gyu']",12.0,3900.0,10/24/2015,11/29/2015,"Saturday, Sunday",jTBC,15+ - Teens 15 or older,"Soo In has a timid personality and is easily frightened, but he stands up for justice and does not cower in fear when he feels that he has been wronged. Early on in his military career, he becomes disillusioned with the falling standards and poor morale in an institution that supposedly practices strict discipline. This leads him to leave the military. In his new civilian life, he gets hired by a foreign retail distribution company and becomes the head manager of a large retail store. The retailer he works for slashes labor costs by firing part-time workers before they can qualify for benefits and higher wages. He cannot tolerate the company's poor and immoral treatment, so he decides to fight against the management. However, as he faces pressure from the company, he is forced to seek help from a labor counseling center and meets Go Shin, the center's manager. His only way to win the case is to utilize the Labor Act like a sword in his mission to fight against corruption and illegal corporate behavior. He boldly 'pierces into' the society that suppresses individual people with tyranny, just like an awl that bores a hole into the stiff wall... Soo In's lone fight to reclaim the labor rights workers have forgotten is about to begin!(Source:JTBC)",3410.0,3958.0,5.6,6.6,7.4,5.8,7.1,7.0
Bubblegum,2015.0,f8ecb7e2038c467cb9d91c14242e6c01,['Kim Byung Soo'],['Lee Mi Na'],16.0,3600.0,10/26/2015,12/15/2015,"Monday, Tuesday",tvN,15+ - Teens 15 or older,"Park Ri Hwan and Kim Haeng Ah are childhood friends who couldn’t be more different. As the director of an eastern medicine hospital, Ri Hwan selflessly cares for his patients and his mother, while Haeng Ah charges through her life as a feisty and headstrong radio producer. Yet despite their differences and after all these years, Ri Hwan and Haeng Ah complement each other perfectly. ",7163.0,996.0,7.0,7.5,8.8,6.1,7.3,12.0
"Noble, My Love",2015.0,e2328f79d0e1432f8d5b22515801d9c1,['Kim Yang Hee'],Others,20.0,900.0,8/23/2015,9/16/2015,"Monday, Tuesday, Wednesday, Thursday, Sunday",Naver TV Cast,13+ - Teens 13 or older,"Kang Hoon is the handsome, conceited CEO of a large company and heads D.O.L's Korean branch in Seoul. One day, he is kidnapped and dramatically escapes from the bad guys, but he bleeds so much that he blacks out in front of an animal hospital in a rural town. Yoon Seo, a veterinarian, finds him and treats him to recovery. Being kind-hearted, she won't accept any payment from him but he won't take no for an answer and buys the building her hospital is in, forcing her to set up practice in Seoul where she has both friends and frenemies from vet school. Even though he looks down on her, he pays her to pretend to be his girlfriend to avoid blind dates set up by his family, becoming more and more possessive of her time and attention. Can deeper feelings develop between a man so arrogant and a woman so genuine?(Source: Otabenga at MyDramaList)~~ Adapted from a web novel ""Noble, My Love"" (고결한 그대) by Go Gyul (고결).",5090.0,310.0,6.4,6.7,7.5,6.5,7.4,14.0
My Mother Is a Daughter-In-Law,2015.0,65e26535bd214898be3b08bec65c12f7,['Ko Heung Sik'],['Lee Geun Young'],136.0,2400.0,6/22/2015,12/31/2015,"Monday, Wednesday, Thursday, Friday, Tuesday",SBS,15+ - Teens 15 or older,"Gyeong Sook married a wealthy older man when she was 19 years old. Her mother-in-law, who gave her a hard time, died, and her husband passed away a couple of years ago. She only depends on her son Jeong Soo who is a doctor. Her son Jeong Soo brings his girlfriend, Hyeon Joo. Kyeong Sook disapproves of Hyeon Joo because of her poor family background.Nevertheless, Jeong Soo and Hyeon Joo marry. Kyeong Sook gives Hyeon Joo a hard time. Then, Jeong Soo dies in a car accident. Kyeong Sook and Hyeon Joo are no longer family. Kyeong Sook and Hyeon Joo eventually both marry again. Through a twist of fate, Kyeong Sook becomes Hyeon Joo's daughter-in-law.(Source: AsianWiki)",44090.0,14364.0,10.0,10.0,10.0,10.0,10.0,0.0
Love Cells Season 2,2015.0,3bef90625c1d4a4ca967dd102a25017d,Others,Others,12.0,600.0,9/14/2015,10/1/2015,"Monday, Tuesday",Naver TV Cast Viki,13+ - Teens 13 or older,"In this bitter-sweet love story, Ne Bi acts as a navigator of the love relationship. She leads the way for the main characters to piece their long-lost memories of love together. ",8646.0,3225.0,6.0,4.6,7.8,3.9,5.9,2.0
Flower of the Queen,2015.0,62df20454192435391aeb326e637677b,"['Kim Min Shik', 'Lee Dae Young']",['Park Hyun Joo'],50.0,3900.0,3/14/2015,8/30/2015,"Saturday, Sunday",MBC,15+ - Teens 15 or older,"South Korean society values success more than anything else. People tirelessly strive to get ahead. Meanwhile, South Korea ranks at the bottom of the list of happy countries in the world. Korea's suicide rate is the highest among developed countries and the third highest in the entire world… There are things that money cannot buy. Money does not bring honor. Power cannot make one happy. Happiness is more powerful than political power, more valuable than riches, and a step above honor.  One mother chases success to live a luxurious lifestyle. A daughter finds success after practically raising herself. Two men love these two women as they pursue happiness. This TV series raises the question of what defines happiness to viewers.(Source: MBC)",6954.0,4493.0,1.0,4.0,4.5,1.0,4.0,2.0
Six Flying Dragons,2015.0,61790e3827334688b5d7d853231a9348,['Shin Kyung Soo'],"['Kim Young Hyun', 'Park Sang Yeon']",50.0,3600.0,10/5/2015,3/22/2016,"Monday, Tuesday",SBS,15+ - Teens 15 or older,"A fictional, historical drama about the ambition, rise and fall of real and fictional characters based around Yi Bang Won. Yi Bang Won was the third king of the Joseon Dynasty in Korea and the father of King Se Jong the Great. He helped his father, King Tae Jo, establish the Joseon Dynasty. ",162.0,531.0,9.7,9.8,9.9,8.9,9.8,27.0
Missing Noir M,2015.0,64309e69d801433aa15db394bc7dfc85,['Lee Seung Young'],['Lee Yoo Jin'],10.0,4200.0,3/28/2015,5/30/2015,Saturday,OCN,15+ - Teens 15 or older,"Gil Su Hyeon is extremely intelligent. At the age of 10, he attended Harvard University and after graduating, he went to work at the FBI. 10 years later, he decided to come back to South Korea. He now works as the leader of the Special Missing Persons Unit. The unit deals with about 1% of special missing cases involving violent crimes. His appearance borders on perfection, but he holds a secret. Detective Oh Dae Yeong joins the Special Missing Persons Unit. He has worked as a detective for 20 years and he has an obsession in observing the law. He is known as a master of missing person cases.(Source: MUBI)",1040.0,1413.0,9.0,8.3,9.2,6.9,8.7,12.0
Jumping Girl,2015.0,5ef07c61a4d041f283308b7d61a2caca,Others,Others,15.0,600.0,4/27/2015,4/28/2015,"Monday, Tuesday",Daum Kakao TV,15+ - Teens 15 or older,"Follows the life of Nam Sang Ah, who becomes the target of public criticism due to a sudden mistake.How in the world can this happen? Nam Sang Ah is an ordinary girl. But her life is turned upside down when she mistakenly becomes the victim of a public witch hunt. Her friends, Han Ga Eul and Lee Yenny, try to help Sang Ah. But Yenny also is busy working as the personal bodyguard to Seo Ah Shin, a top idol star who is hiding a vulnerable side. Can Gong Joo Ri, who has survived her own witch hunt in the past, help Sang Ah through this crisis and reclaim her life?(Source: Viki)",9145.0,3662.0,6.5,6.4,7.6,6.8,6.8,3.0
My Beautiful Bride,2015.0,e265f560507a46e990db066cdb69d49b,"['Kim Chul Gyu', 'Kim Sang Woo']",['Yoo Sung Yeol'],16.0,3600.0,6/20/2015,8/9/2015,"Saturday, Sunday",OCN,15+ - Teens 15 or older,"Kim Do Hyung, who works as a bank executive and comes from a well-to-do family, has been dating his girlfriend, Yoon Joo Young, for the past two years. He asks her to marry him, but Joo Young is tormented by his proposal and is terrified that Do Hyung will find out about her checkered past. After Joo Young makes up her mind to accept the marriage proposal, she suddenly disappears without a trace. When Do Hyung files a missing-person report with the police, officer Cha Yoon Mi is surprised to learn that Joo Young is someone she knows from her past but can’t offer much help to Do Hyung. When Do Hyung undertakes the search for Joo Young on his own, he is drawn into the shadowy underground world of gangsters and loan sharks. When Song Hak Soo, the leader of an underground crime syndicate who was recently released from prison, suddenly shows up dead, Do Hyung inexplicably becomes the prime suspect in the murders of Hak Soo and Joo Young, although she is still missing. With Yoon Mi and her partner, Park Hyung Shik, hot on his heels, can Do Hyung find Joo Young and clear his own name?(Source: Viki)",2542.0,1538.0,8.9,8.8,8.9,7.1,8.7,9.0
Shine or Go Crazy,2015.0,45af025f19d845baa878cda040320aaf,"['Song Hyung Suk', 'Yoon Ji Hoon']","['Kim Sun Mi', 'Kim Sun Young']",24.0,3900.0,1/19/2015,4/7/2015,"Monday, Tuesday",MBC,15+ - Teens 15 or older,"Wang So, a Goryeo prince, was born with the name, “Shine.” Shin Yul is a woman hailing from the Balhae kingdom and believed to have the powers of an oracle. A prince who suffered vile remarks because of a cursed prophecy finds himself attracted to a former princess from a fallen kingdom who faces death because of her fate to become the light of another kingdom. Their love is at a point of either shining or flaming out.(Source: MBC)",3958.0,1632.0,8.0,7.3,8.6,5.1,7.8,11.0
Missing Korea,2015.0,0f989ec2490447b5812cbe95feffb0fb,['Min Doo Shik'],Others,6.0,600.0,11/3/2015,11/12/2015,"Tuesday, Wednesday, Thursday",Naver TV Cast,Not Yet Rated,“Missing Korea” is a romantic comedy set in the fictional year of 2020 when North and South Korea have taken significant steps towards reunification. One of those steps include hosting the first-ever combined Miss Korea pageant. ,8905.0,4337.0,3.9,6.4,7.1,3.4,6.4,1.0
She Was Pretty,2015.0,1985f18b5a134aee8c324ef183f98047,['Jeong Dae Yun'],['Jo Sung Hee'],16.0,3600.0,9/16/2015,11/11/2015,"Wednesday, Thursday",MBC,15+ - Teens 15 or older,"As a young girl, Hye Jin was impossibly cute and lived a comfortable life with her wealthy parents. Since entering her teens, both her looks and fortunes have drastically changed. She currently lives rent-free with a friend and is a part-time clerk at a convenience store. Out-of-the-blue, Sung Joon, her childhood friend, contacts her and suggests they meet. He is unaware that Hye Jin recently spotted him and knows how fit and handsome he had become. Not wanting to disappoint him, she insists her pretty best friend go in her place. What could go wrong?After landing a full-time job, Hye Jin is surprised to find out that Sung Joon is her boss. To add insult to injury, he is treating her with nothing but disdain and contempt. This is not the friend she fondly remembers, so she goes about hiding her true identity from him.  (Source: MBC)",1933.0,32.0,7.9,7.6,8.6,6.0,7.8,36.0
She Is 200 Years Old,2015.0,ffaec6267d974dfc9543cda4953b48c6,Others,Others,5.0,600.0,10/27/2015,10/27/2015,Others,Naver TV Cast,Not Yet Rated,"200-year-old Min Se Yeon has managed to conceal her immortality, up until she meets Lee Jung Hoon, a social worker she saves from a traffic accident. Despite her wizened age, Se Yeon is fresh, beautiful and forever in her prime, but with immortality comes a price. Can Se Yeon and Jung Hoon defy time in the name of romance? ",8782.0,2678.0,6.0,6.1,6.1,4.2,6.4,3.0
Warm and Cozy,2015.0,81c8f1d83d764795b44fb12b638ac4a5,"['Park Hong Kyun', 'Kim Hee Won']","['Hong Jung Eun', 'Hong Mi Ran']",16.0,3600.0,5/13/2015,7/2/2015,"Wednesday, Thursday",MBC,15+ - Teens 15 or older,"A man and a woman hit by setbacks and spurned by lovers meet one another on Jeju Island. The woman needs time to nurse her wounds after her career and relationship implode. The man is still smarting from a bad relationship that has closed his heart.  When together, they become themselves again, warm and friendly. Neither too hot nor cold.This is about two people recovering from their life troubles to bring warmth back into their lives. Kun Woo is following in the footsteps of the Great Gatsby, who was hopelessly in love with Daisy and sacrificed everything. But then Kun Woo faces an obstacle in pursuing his love interest. It's time for him to make a stand. He will save Daisy from all of her troubles. As he finds himself inextricably linked with a blunt and coarse woman who has no idea what true love is, he finds that he has a soft spot for her. Warm and mild...(Source: MBC)",5707.0,635.0,8.2,7.6,8.9,7.1,8.5,14.0
Girl of 0AM,2015.0,634519fd3e734139b9e52565a998f7fb,Others,Others,8.0,900.0,5/4/2015,5/14/2015,Others,MBC every1,Not Yet Rated,"Gong Ji Dan, dreams of becoming a superstar. He coincidentally becomes in charge of a karaoke business, allowing him to grow as a singer. Meanwhile, Min Se Ra is a part-time worker, who leads Ji Dan to become a singer and holds a mysterious secret. ",7755.0,2845.0,7.4,7.0,8.1,5.5,7.6,3.0
Girls' Love Story,2015.0,8a5f7bb42f264848872557b8cabaee5b,Others,Others,50.0,540.0,6/16/2015,8/15/2015,Wednesday,Daum Kakao TV,Not Yet Rated,"Four women are ready to take their relationships to the next level and prepare to move in with their boyfriends. The only problem is, they’re all dating the same man- and come moving day, he’s nowhere to be found! Meet Sweet Beauty, Sexy Eater, Innocent Drinker, and Loyal Cry Baby, four vivacious fitness trainers now hell-bent on revenge against the man who stole their money and trust in the opposite sex. ",52369.0,8459.0,5.0,4.8,6.2,5.2,5.5,3.0
Assembly,2015.0,56f7a1b9c7244ac0b95a80256bb3d001,['Hwang In Hyuk'],['Jung Hyun Min'],20.0,3720.0,7/15/2015,9/17/2015,"Wednesday, Thursday",KBS2,Not Yet Rated,"Jin Sang Pil is a welder at a shipyard, but when he and his fellow workers get laid off, he fights for their reinstatement as the spokesman for the labor union. To his surprise, this leads to him becoming a newly elected member of the National Assembly. But because of his idealism and naiveté, Sang Pil finds it difficult to navigate the corridors of politics. Enter whip-smart aide Choi In Gyeong, who shows him the ropes and together they work to accomplish real change within the government.",4927.0,5731.0,8.5,9.8,9.5,9.0,9.5,6.0
