Bill Number,Title,Summary,Sponsor,Cosponsors (Overview),Cosponsor List,Introduced,Status,Prognosis,Source URL,Committees,Vote Type,Vote Date,Vote Result,Related Bills,Subjects
HR1,H.R. 1 (118th): Lower Energy Costs Act,"To lower energy costs by increasing American energy production, exports, infrastructure, and critical minerals processing, by promoting transparency, accountability, permitting, and production of American resources, and by improving water quality certification and energy projects, and for other purposes.",Steve Scalise,Cosponsors,"Scalise, Steve [R-LA1, 2008-2026], Westerman, Bruce [R-AR4, 2015-2026], Thompson, Glenn [R-PA15, 2019-2026], Guthrie, Brett [R-KY2, 2009-2026], Graves, Sam [R-MO6, 2001-2026], Cammack, Katherine “Kat” [R-FL3, 2021-2026], Carter, Earl “Buddy” [R-GA1, 2015-2026], McClintock, Tom [R-CA5, 2023-2026], Miller, Mary [R-IL15, 2021-2026], De La Cruz, Mónica [R-TX15, 2023-2026], Carey, Mike [R-OH15, 2021-2026], Allen, Rick [R-GA12, 2015-2026], Balderson, Troy [R-OH12, 2018-2026], Crenshaw, Dan [R-TX2, 2019-2026], Dunn, Neal [R-FL2, 2017-2026], Hudson, Richard [R-NC9, 2023-2026], Joyce, John [R-PA13, 2019-2026], Latta, Robert [R-OH5, 2007-2026], Palmer, Gary [R-AL6, 2015-2026], Pfluger, August [R-TX11, 2021-2026], Weber, Randy [R-TX14, 2013-2026], Bilirakis, Gus [R-FL12, 2013-2026], Miller-Meeks, Mariannette [R-IA1, 2023-2026], Langworthy, Nicholas [R-NY23, 2023-2026], Boebert, Lauren [R-CO3, 2021-2024], Walberg, Tim [R-MI5, 2023-2026], Hageman, Harriet [R-WY, 2023-2026], Owens, Clarence “Burgess” [R-UT4, 2021-2026], McMorris Rodgers, Cathy [R-WA5, 2005-2024], Aderholt, Robert [R-AL4, 1997-2026], Armstrong, Kelly [R-ND, 2019-2024], Burgess, Michael [R-TX26, 2003-2024], Curtis, John [R-UT3, 2017-2024], Ferguson, Drew [R-GA3, 2017-2024], Graves, Garret [R-LA6, 2015-2024], Meuser, Daniel [R-PA9, 2019-2026], Pence, Greg [R-IN6, 2019-2024], Stefanik, Elise [R-NY21, 2015-2026], Tenney, Claudia [R-NY24, 2023-2026], Zinke, Ryan [R-MT1, 2023-2026], Alford, Mark [R-MO4, 2023-2026], Ciscomani, Juan [R-AZ6, 2023-2026], Duncan, Jeff [R-SC3, 2011-2024], Letlow, Julia [R-LA5, 2021-2026], Williams, Brandon [R-NY22, 2023-2024], Rogers, Harold “Hal” [R-KY5, 1981-2026], Bice, Stephanie [R-OK5, 2021-2026], LaHood, Darin [R-IL16, 2023-2026], LaTurner, Jacob “Jake” [R-KS2, 2021-2024], Timmons, William [R-SC4, 2019-2026]","Mar 14, 2023 118 th Congress (2023–2025)","Passed House (Senate next) (Mar 30, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr1,House Agriculture,H.Amdt. 134 (Boebert) to H.R. 1: To add a Sense of Congress expressing disapproval of the denial of Jordan Cove Project permits.,"Mar 29, 2023 6:01 p.m.",Agreed to 221/208,", S. 947","Energy, Administrative law and regulatory procedures, Advisory bodies, Air quality, show 49 more, Alaska, Alternative and renewable resources, Asia, Canada, China, Civil actions and liability, Coal, Colorado, Computer security and identity theft, Electric power generation and transmission, Energy prices, Energy research, Energy revenues and royalties, Environmental Protection Agency (EPA), Environmental assessment, monitoring, research, Environmental health, Environmental regulatory procedures, Federal Energy Regulatory Commission (FERC), Government information and archives, Government studies and investigations, Hazardous wastes and toxic substances, Indian lands and resources rights, Intergovernmental relations, Judicial review and appeals, Land transfers, Land use and conservation, Latin America, Licensing and registrations, Marine and coastal resources, fisheries, Metals, Mexico, Mining, Montana, Nevada, New Mexico, North Dakota, Oil and gas, Oklahoma, Pipelines, Political parties and affiliation, Public participation and lobbying, State and local government operations, Strategic materials and reserves, Trade restrictions, Transportation employees, Transportation safety and security, Utah, Water quality, Wyoming, show less"
HR2,H.R. 2 (118th): Secure the Border Act of 2023,"To secure the borders of the United States, and for other purposes.",Mario Diaz-Balart,Cosponsors,"Diaz-Balart, Mario [R-FL26, 2023-2026], Green, Mark E. [R-TN7, 2019-2026], Jordan, Jim [R-OH4, 2007-2026], Miller, Mary [R-IL15, 2021-2026], Zinke, Ryan [R-MT1, 2023-2026], Higgins, Clay [R-LA3, 2017-2026], Biggs, Andy [R-AZ5, 2017-2026], McClintock, Tom [R-CA5, 2023-2026], Moran, Nathaniel [R-TX1, 2023-2026], Arrington, Jodey [R-TX19, 2017-2026], Malliotakis, Nicole [R-NY11, 2021-2026], Calvert, Ken [R-CA41, 2023-2026], Carter, John R. [R-TX31, 2003-2026], Bice, Stephanie [R-OK5, 2021-2026], Johnson, Mike [R-LA4, 2017-2026], Reschenthaler, Guy [R-PA14, 2019-2026], Weber, Randy [R-TX14, 2013-2026], Boebert, Lauren [R-CO3, 2021-2024], Edwards, Charles (Chuck) [R-NC11, 2023-2026], Ellzey, Jake [R-TX6, 2021-2026], Ferguson, Drew [R-GA3, 2017-2024], Sessions, Pete [R-TX17, 2021-2026]","May 2, 2023 118 th Congress (2023–2025)","Passed House (Senate next) (May 11, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr2,House Education and Workforce,On Motion to Recommit: H.R. 2: Secure the Border Act of 2023,"May 11, 2023 4:12 p.m.",Failed 211/221,", S. 2824","Immigration, Administrative remedies, Border security and unlawful immigration, Child safety and welfare, show 31 more, Civil actions and liability, Computer security and identity theft, Criminal investigation, prosecution, interrogation, Criminal justice information and records, Department of Homeland Security, Detention of persons, Domestic violence and child abuse, El Salvador, Employee hiring, Executive agency funding and structure, Family relationships, Federal preemption, Foreign labor, Fraud offenses and financial crimes, Government information and archives, Government studies and investigations, Guatemala, Honduras, Immigration status and procedures, Latin America, Law enforcement officers, Licensing and registrations, Mexico, Migrant, seasonal, agricultural labor, Personnel records, Photography and imaging, Public contracts and procurement, Refugees, asylum, displaced persons, State and local government operations, Telephone and wireless communication, Visas and passports, show less"
HR3,H.R. 3 (118th): Reserved for the Speaker.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",N/A,N/A,"McCarthy, Kevin [R-CA20, 2023-2023]","Jan 3, 2023 118 th Congress (2023–2025)","Introduced (Jan 03, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr3,N/A,Home,N/A,N/A,N/A,"Home, About GovTrack, About the Data, Contact Us, Privacy & Legal, Site News, Mastodon, Bluesky, Patreon, GitHub, Civic Impulse, LLC"
HR4,H.R. 4 (118th): Reserved for the Speaker.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",N/A,N/A,"McCarthy, Kevin [R-CA20, 2023-2023]","Jan 3, 2023 118 th Congress (2023–2025)","Introduced (Jan 03, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr4,N/A,Home,N/A,N/A,N/A,"Home, About GovTrack, About the Data, Contact Us, Privacy & Legal, Site News, Mastodon, Bluesky, Patreon, GitHub, Civic Impulse, LLC"
HR5,H.R. 5 (118th): Parents Bill of Rights Act,To ensure the rights of parents are honored and protected in the Nation's public schools.,Julia Letlow,Cosponsors,"Letlow, Julia [R-LA5, 2021-2026], Walberg, Tim [R-MI5, 2023-2026], Allen, Rick [R-GA12, 2015-2026], Foxx, Virginia [R-NC5, 2005-2026], Grothman, Glenn [R-WI6, 2015-2026], Houchin, Erin [R-IN9, 2023-2026], Miller, Mary [R-IL15, 2021-2026], Owens, Clarence “Burgess” [R-UT4, 2021-2026], Stefanik, Elise [R-NY21, 2015-2026], Thompson, Glenn [R-PA15, 2019-2026], Wilson, Joe [R-SC2, 2001-2026], Banks, Jim [R-IN3, 2017-2024], Balderson, Troy [R-OH12, 2018-2026], Bean, Aaron [R-FL4, 2023-2026], Bost, Mike [R-IL12, 2015-2026], Buchanan, Vern [R-FL16, 2013-2026], Calvert, Ken [R-CA41, 2023-2026], Cammack, Katherine “Kat” [R-FL3, 2021-2026], Carey, Mike [R-OH15, 2021-2026], Carl, Jerry [R-AL1, 2021-2024], Crawford, Eric “Rick” [R-AR1, 2011-2026], Crenshaw, Dan [R-TX2, 2019-2026], DesJarlais, Scott [R-TN4, 2011-2026], Duncan, Jeff [R-SC3, 2011-2024], Edwards, Charles (Chuck) [R-NC11, 2023-2026], Emmer, Tom [R-MN6, 2015-2026], Ezell, Mike [R-MS4, 2023-2026], Fallon, Patrick “Pat” [R-TX4, 2021-2026], Finstad, Brad [R-MN1, 2022-2026], Fitzgerald, Scott [R-WI5, 2021-2026], Garcia, Mike [R-CA27, 2023-2024], Gimenez, Carlos [R-FL28, 2023-2026], Gonzales, Ernest “Tony” [R-TX23, 2021-2026], Gooden, Lance [R-TX5, 2019-2026], Graves, Garret [R-LA6, 2015-2024], Guest, Michael [R-MS3, 2019-2026], Guthrie, Brett [R-KY2, 2009-2026], Harshbarger, Diana [R-TN1, 2021-2026], Hern, Kevin [R-OK1, 2018-2026], Higgins, Clay [R-LA3, 2017-2026], Hinson, Ashley [R-IA2, 2023-2026], Hudson, Richard [R-NC9, 2023-2026], Huizenga, Bill [R-MI4, 2023-2026], Johnson, Mike [R-LA4, 2017-2026], Joyce, John [R-PA13, 2019-2026], Kelly, Mike [R-PA16, 2019-2026], Kustoff, David [R-TN8, 2017-2026], Luna, Anna [R-FL13, 2023-2026], Mace, Nancy [R-SC1, 2021-2026], McCaul, Michael [R-TX10, 2005-2026], McClintock, Tom [R-CA5, 2023-2026], McMorris Rodgers, Cathy [R-WA5, 2005-2024], Meuser, Daniel [R-PA9, 2019-2026], Miller, Max [R-OH7, 2023-2026], Miller-Meeks, Mariannette [R-IA1, 2023-2026], Moolenaar, John [R-MI2, 2023-2026], Mooney, Alexander [R-WV2, 2015-2024], Newhouse, Dan [R-WA4, 2015-2026], Norman, Ralph [R-SC5, 2017-2026], Reschenthaler, Guy [R-PA14, 2019-2026], Rouzer, David [R-NC7, 2015-2026], Rutherford, John [R-FL5, 2023-2026], Scalise, Steve [R-LA1, 2008-2026], Smucker, Lloyd [R-PA11, 2019-2026], Steel, Michelle [R-CA45, 2023-2024], Steil, Bryan [R-WI1, 2019-2026], Tenney, Claudia [R-NY24, 2023-2026], Tiffany, Thomas [R-WI7, 2020-2026], Valadao, David [R-CA22, 2023-2026], Waltz, Michael [R-FL6, 2019-2025], Wenstrup, Brad [R-OH2, 2013-2024], Williams, Brandon [R-NY22, 2023-2024], Wittman, Robert [R-VA1, 2007-2026], Zinke, Ryan [R-MT1, 2023-2026], Chavez-DeRemer, Lori [R-OR5, 2023-2024], D'Esposito, Anthony [R-NY4, 2023-2024], Diaz-Balart, Mario [R-FL26, 2023-2026], Ellzey, Jake [R-TX6, 2021-2026], Estes, Ron [R-KS4, 2017-2026], Feenstra, Randy [R-IA4, 2021-2026], Greene, Marjorie [R-GA14, 2021-2026], Hageman, Harriet [R-WY, 2023-2026], LaHood, Darin [R-IL16, 2023-2026], Lamborn, Doug [R-CO5, 2007-2024], Lawler, Michael [R-NY17, 2023-2026], Lee, Laurel [R-FL15, 2023-2026], Malliotakis, Nicole [R-NY11, 2021-2026], Mann, Tracey [R-KS1, 2021-2026], Smith, Christopher “Chris” [R-NJ4, 1981-2026], Steube, Gregory [R-FL17, 2019-2026], Van Drew, Jefferson [R-NJ2, 2019-2026], Williams, Roger [R-TX25, 2013-2026], Aderholt, Robert [R-AL4, 1997-2026], Amodei, Mark [R-NV2, 2011-2026], Baird, James [R-IN4, 2019-2026], Bice, Stephanie [R-OK5, 2021-2026], Bucshon, Larry [R-IN8, 2011-2024], Carter, Earl “Buddy” [R-GA1, 2015-2026], Ferguson, Drew [R-GA3, 2017-2024], Fischbach, Michelle [R-MN7, 2021-2026], Franklin, Scott [R-FL18, 2023-2026], LaMalfa, Doug [R-CA1, 2013-2026], LaTurner, Jacob “Jake” [R-KS2, 2021-2024], Langworthy, Nicholas [R-NY23, 2023-2026], Moran, Nathaniel [R-TX1, 2023-2026], Nehls, Troy [R-TX22, 2021-2026], Ogles, Andrew [R-TN5, 2023-2026], Posey, Bill [R-FL8, 2013-2024], Babin, Brian [R-TX36, 2015-2026], Kelly, Trent [R-MS1, 2015-2026], Molinaro, Marcus [R-NY19, 2023-2024], Santos, George [R-NY3, 2023-2023], Boebert, Lauren [R-CO3, 2021-2024], Cline, Ben [R-VA6, 2019-2026], Green, Mark E. [R-TN7, 2019-2026], Nunn, Zachary (Zach) [R-IA3, 2023-2026], Burgess, Michael [R-TX26, 2003-2024], Hunt, Wesley [R-TX38, 2023-2026], Jackson, Ronny [R-TX13, 2021-2026], Johnson, Dusty [R-SD, 2019-2026], Lesko, Debbie [R-AZ8, 2018-2024], Stauber, Pete [R-MN8, 2019-2026], Van Orden, Derrick [R-WI3, 2023-2026]","Mar 1, 2023 118 th Congress (2023–2025)","Passed House (Senate next) (Mar 24, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr5,House Education and Workforce,"H.Amdt. 115 (Bonamici) to H.R. 5: To include a findings section and sense of Congress regarding public education and rights that parents have access to in public schools. To include titles creating a parent coordinator position in public schools, increas","Mar 23, 2023 6:09 p.m.",Failed 203/223,", H.R. 6056 (117th)","Education, Academic performance and assessments, Child health, Elementary and secondary education, show 9 more, First Amendment rights, Freedom of information, Government information and archives, Libraries and archives, School administration, State and local finance, State and local government operations, Teaching, teachers, curricula, World history, show less"
HR6,H.R. 6 (118th): Reserved for the Speaker.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",N/A,N/A,"McCarthy, Kevin [R-CA20, 2023-2023]","Jan 3, 2023 118 th Congress (2023–2025)","Introduced (Jan 03, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr6,N/A,Home,N/A,N/A,N/A,"Home, About GovTrack, About the Data, Contact Us, Privacy & Legal, Site News, Mastodon, Bluesky, Patreon, GitHub, Civic Impulse, LLC"
HR7,H.R. 7 (118th): No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2023,To prohibit taxpayer funded abortions.,Christopher “Chris” Smith,Cosponsors,"Smith, Christopher “Chris” [R-NJ4, 1981-2026], Guthrie, Brett [R-KY2, 2009-2026], Jordan, Jim [R-OH4, 2007-2026], Smith, Jason [R-MO8, 2013-2026], Fry, Russell [R-SC7, 2023-2026], Lee, Laurel [R-FL15, 2023-2026], Balderson, Troy [R-OH12, 2018-2026], Carter, Earl “Buddy” [R-GA1, 2015-2026], Crenshaw, Dan [R-TX2, 2019-2026], Fulcher, Russ [R-ID1, 2019-2026], Griffith, Morgan [R-VA9, 2011-2026], Harshbarger, Diana [R-TN1, 2021-2026], Houchin, Erin [R-IN9, 2023-2026], Hudson, Richard [R-NC9, 2023-2026], Joyce, John [R-PA13, 2019-2026], Langworthy, Nicholas [R-NY23, 2023-2026], Latta, Robert [R-OH5, 2007-2026], Palmer, Gary [R-AL6, 2015-2026], Weber, Randy [R-TX14, 2013-2026], Allen, Rick [R-GA12, 2015-2026], Dunn, Neal [R-FL2, 2017-2026], Miller-Meeks, Mariannette [R-IA1, 2023-2026], Pfluger, August [R-TX11, 2021-2026], Bilirakis, Gus [R-FL12, 2013-2026], Bentz, Cliff [R-OR2, 2021-2026], Cammack, Katherine “Kat” [R-FL3, 2021-2026], Cline, Ben [R-VA6, 2019-2026], Grothman, Glenn [R-WI6, 2015-2026], Issa, Darrell [R-CA48, 2023-2026], McClintock, Tom [R-CA5, 2023-2026], Fitzgerald, Scott [R-WI5, 2021-2026], Hageman, Harriet [R-WY, 2023-2026], Gooden, Lance [R-TX5, 2019-2026], Biggs, Andy [R-AZ5, 2017-2026], Tiffany, Thomas [R-WI7, 2020-2026], Van Drew, Jefferson [R-NJ2, 2019-2026], Moore, Barry [R-AL2, 2021-2024], Roy, Chip [R-TX21, 2019-2026], Buchanan, Vern [R-FL16, 2013-2026], Estes, Ron [R-KS4, 2017-2026], Feenstra, Randy [R-IA4, 2021-2026], Fischbach, Michelle [R-MN7, 2021-2026], Kelly, Mike [R-PA16, 2019-2026], Kustoff, David [R-TN8, 2017-2026], LaHood, Darin [R-IL16, 2023-2026], Miller, Carol [R-WV1, 2023-2026], Moore, Blake [R-UT1, 2021-2026], Smucker, Lloyd [R-PA11, 2019-2026], Tenney, Claudia [R-NY24, 2023-2026], Yakym, Rudy [R-IN2, 2022-2026], Van Duyne, Beth [R-TX24, 2021-2026], Miller, Max [R-OH7, 2023-2026], Smith, Adrian [R-NE3, 2007-2026], Moran, Nathaniel [R-TX1, 2023-2026], Carey, Mike [R-OH15, 2021-2026], Arrington, Jodey [R-TX19, 2017-2026], Steube, Gregory [R-FL17, 2019-2026], Bean, Aaron [R-FL4, 2023-2026], Hern, Kevin [R-OK1, 2018-2026], Murphy, Gregory [R-NC3, 2019-2026], Aderholt, Robert [R-AL4, 1997-2026], Armstrong, Kelly [R-ND, 2019-2024], Babin, Brian [R-TX36, 2015-2026], Banks, Jim [R-IN3, 2017-2024], Barr, Garland “Andy” [R-KY6, 2013-2026], Bergman, Jack [R-MI1, 2017-2026], Bice, Stephanie [R-OK5, 2021-2026], Bishop, Dan [R-NC8, 2023-2024], Boebert, Lauren [R-CO3, 2021-2024], Bost, Mike [R-IL12, 2015-2026], Brecheen, Josh [R-OK2, 2023-2026], Bucshon, Larry [R-IN8, 2011-2024], Burchett, Tim [R-TN2, 2019-2026], Burgess, Michael [R-TX26, 2003-2024], Carl, Jerry [R-AL1, 2021-2024], Cloud, Michael [R-TX27, 2018-2026], Clyde, Andrew [R-GA9, 2021-2026], Duncan, Jeff [R-SC3, 2011-2024], Ellzey, Jake [R-TX6, 2021-2026], Ezell, Mike [R-MS4, 2023-2026], Fallon, Patrick “Pat” [R-TX4, 2021-2026], Ferguson, Drew [R-GA3, 2017-2024], Finstad, Brad [R-MN1, 2022-2026], Fleischmann, Charles “Chuck” [R-TN3, 2011-2026], Foxx, Virginia [R-NC5, 2005-2026], Franklin, Scott [R-FL18, 2023-2026], Gaetz, Matt [R-FL1, 2017-2024], Gallagher, Mike [R-WI8, 2017-2024], Good, Robert “Bob” [R-VA5, 2021-2024], Graves, Garret [R-LA6, 2015-2024], Green, Mark E. [R-TN7, 2019-2026], Guest, Michael [R-MS3, 2019-2026], Harris, Andy [R-MD1, 2011-2026], Higgins, Clay [R-LA3, 2017-2026], Hinson, Ashley [R-IA2, 2023-2026], Huizenga, Bill [R-MI4, 2023-2026], Jackson, Ronny [R-TX13, 2021-2026], Johnson, Dusty [R-SD, 2019-2026], Johnson, Mike [R-LA4, 2017-2026], Joyce, David [R-OH14, 2013-2026], Kim, Young [R-CA40, 2023-2026], LaMalfa, Doug [R-CA1, 2013-2026], LaTurner, Jacob “Jake” [R-KS2, 2021-2024], Lamborn, Doug [R-CO5, 2007-2024], Lesko, Debbie [R-AZ8, 2018-2024], Letlow, Julia [R-LA5, 2021-2026], Loudermilk, Barry [R-GA11, 2015-2026], Luetkemeyer, Blaine [R-MO3, 2013-2024], Mace, Nancy [R-SC1, 2021-2026], Mann, Tracey [R-KS1, 2021-2026], Mast, Brian [R-FL21, 2023-2026], McClain, Lisa [R-MI9, 2023-2026], McHenry, Patrick [R-NC10, 2005-2024], McMorris Rodgers, Cathy [R-WA5, 2005-2024], Meuser, Daniel [R-PA9, 2019-2026], Moolenaar, John [R-MI2, 2023-2026], Mooney, Alexander [R-WV2, 2015-2024], Perry, Scott [R-PA10, 2019-2026], Posey, Bill [R-FL8, 2013-2024], Reschenthaler, Guy [R-PA14, 2019-2026], Rose, John W. [R-TN6, 2019-2026], Scott, Austin [R-GA8, 2011-2026], Simpson, Michael “Mike” [R-ID2, 1999-2026], Stauber, Pete [R-MN8, 2019-2026], Stefanik, Elise [R-NY21, 2015-2026], Thompson, Glenn [R-PA15, 2019-2026], Timmons, William [R-SC4, 2019-2026], Turner, Michael [R-OH10, 2013-2026], Walberg, Tim [R-MI5, 2023-2026], Waltz, Michael [R-FL6, 2019-2025], Webster, Daniel [R-FL11, 2017-2026], Wenstrup, Brad [R-OH2, 2013-2024], Wilson, Joe [R-SC2, 2001-2026], Womack, Steve [R-AR3, 2011-2026], Kelly, Trent [R-MS1, 2015-2026], Miller, Mary [R-IL15, 2021-2026], Norman, Ralph [R-SC5, 2017-2026], Ogles, Andrew [R-TN5, 2023-2026], Rutherford, John [R-FL5, 2023-2026], Sessions, Pete [R-TX17, 2021-2026], Diaz-Balart, Mario [R-FL26, 2023-2026], Flood, Mike [R-NE1, 2022-2026], Rouzer, David [R-NC7, 2015-2026], Crane, Eli [R-AZ2, 2023-2026], Luna, Anna [R-FL13, 2023-2026], McCormick, Rich [R-GA6, 2023-2024], Pence, Greg [R-IN6, 2019-2024], Carter, John R. [R-TX31, 2003-2026], Crawford, Eric “Rick” [R-AR1, 2011-2026], Edwards, Charles (Chuck) [R-NC11, 2023-2026], Gosar, Paul [R-AZ9, 2023-2026], Granger, Kay [R-TX12, 1997-2024], Hill, French [R-AR2, 2015-2026], Luttrell, Morgan [R-TX8, 2023-2026], Rogers, Harold “Hal” [R-KY5, 1981-2026], Self, Keith [R-TX3, 2023-2026], Burlison, Eric [R-MO7, 2023-2026], Westerman, Bruce [R-AR4, 2015-2026], Wittman, Robert [R-VA1, 2007-2026], Alford, Mark [R-MO4, 2023-2026], Ciscomani, Juan [R-AZ6, 2023-2026], Gonzales, Ernest “Tony” [R-TX23, 2021-2026], Wagner, Ann [R-MO2, 2013-2026], Graves, Sam [R-MO6, 2001-2026], Williams, Brandon [R-NY22, 2023-2024], Davidson, Warren [R-OH8, 2016-2026], Mills, Cory [R-FL7, 2023-2026], Zinke, Ryan [R-MT1, 2023-2026], Johnson, Bill [R-OH6, 2011-2024], Scalise, Steve [R-LA1, 2008-2026], Cole, Tom [R-OK4, 2003-2026], Lucas, Frank [R-OK3, 2003-2026], Williams, Roger [R-TX25, 2013-2026], Rosendale, Matthew [R-MT2, 2023-2024], Bacon, Don [R-NE2, 2017-2026], Curtis, John [R-UT3, 2017-2024], Strong, Dale [R-AL5, 2023-2026], Rogers, Mike [R-AL3, 2003-2026], Gimenez, Carlos [R-FL28, 2023-2026], Buck, Ken [R-CO4, 2015-2024], Maloy, Celeste [R-UT2, 2023-2026], Fong, Vince [R-CA20, 2024-2026], Greene, Marjorie [R-GA14, 2021-2026], Steil, Bryan [R-WI1, 2019-2026]","Jan 9, 2023 118 th Congress (2023–2025)","Reintroduced Bill —
								
								Introduced (Jan 22, 2025)",N/A,https://www.govtrack.us/congress/bills/118/hr7,"House Energy and Commerce, ↪, Health",,Introduced,"Last Action: Feb 5, 2021",", H.R. 18 (117th)","Health, Abortion, Appropriations, Assault and harassment offenses, show 12 more, Comprehensive health care, Consumer affairs, Crimes against women, Employee benefits and pensions, Government buildings, facilities, and property, Health care costs and insurance, Health care coverage and access, Health facilities and institutions, Health programs administration and funding, Income tax credits, Sex offenses, Small business, show less"
HR8,H.R. 8 (118th): Reserved for the Speaker.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",N/A,N/A,"McCarthy, Kevin [R-CA20, 2023-2023]","Jan 3, 2023 118 th Congress (2023–2025)","Introduced (Jan 03, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr8,N/A,Home,N/A,N/A,N/A,"Home, About GovTrack, About the Data, Contact Us, Privacy & Legal, Site News, Mastodon, Bluesky, Patreon, GitHub, Civic Impulse, LLC"
HR9,H.R. 9 (118th): Reserved for the Speaker.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",N/A,N/A,"McCarthy, Kevin [R-CA20, 2023-2023]","Jan 3, 2023 118 th Congress (2023–2025)","Introduced (Jan 03, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr9,N/A,Home,N/A,N/A,N/A,"Home, About GovTrack, About the Data, Contact Us, Privacy & Legal, Site News, Mastodon, Bluesky, Patreon, GitHub, Civic Impulse, LLC"
HR10,H.R. 10 (118th): Reserved for the Speaker.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",N/A,N/A,"McCarthy, Kevin [R-CA20, 2023-2023]","Jan 3, 2023 118 th Congress (2023–2025)","Introduced (Jan 03, 2023)",N/A,https://www.govtrack.us/congress/bills/118/hr10,N/A,Home,N/A,N/A,N/A,"Home, About GovTrack, About the Data, Contact Us, Privacy & Legal, Site News, Mastodon, Bluesky, Patreon, GitHub, Civic Impulse, LLC"
